,text
0,Imagine that you 've just written what you believe is a great piece of content . Imagine you have just written what you believe is a great piece of content .
1,You 're ready to get it off your plate and send it out to the world . You are ready to get it off your plate and send it to the world .
2,"But wait just a second ! But , wait , a second !"
3,"Before you hit the publish button , are you positive that you 've done everything you can to ensure your content 's success ? Before you hit the publish button , are you positive that you have done everything you can ensure to ensure your content is success ?"
4,"After all , you 've probably worked hard to create that piece of content , so do n't you want to be sure that it will work just as hard for you ? After all , you have probably worked hard to create that piece of content , so do n't you want to be sure that it will work just as hard for you ?"
5,"Below we have put together a list of the 10 questions that we think content marketers should always ask themselves before they publish their content . In my opinion , we think content marketers should always ask themselves before they publish their content ."
6,"Maybe you 're already asking yourself some of them , which is a good start . Maybe you are already asking yourself some of them , which is a good start ."
7,"However , unless you can answer yes to all of them for every piece of content you create , you 're doing your content and yourself a disservice . However , unless you can answer yes to all of them for every piece of content you create , you are doing your content ."
8,"If you do n't want to miss out on an opportunity to make your content great , always ask yourself these questions : 1 ) Is it really readable ? If you do not want to miss out on an opportunity to make your content great , is it really readable ?"
9,It 's easy to bog content down in ways that make it hard for readers to understand . It is easy to bog down in ways that make it hard for readers to understand .
10,"Using long , overly complex sentences , lots of acronyms , or industry jargon , for example , not only slow readers down , it makes reading the content much less enjoyable . Using long sentences , a lot of acronyms , or industry sentences , or industry jargon for example , not only for example ."
11,Do your readers a favor and simplify your writing . Do your readers a favor and you are writing .
12,They 'll appreciate it ! They will appreciate it .
13,2 ) Is it easily scanable ? Do you think it was too easy ?
14,"Even though we want people to read our content , the reality is that people are short on time and often skim instead . Even though we want people to read our content , the reality is that people are short on time and often skim ."
15,That 's why you should always ensure that your content is laid out to accommodate people who are scanning so that they can get the gist of what you 're trying to communicate even if they do n't read every word . That is why you should always ensure that your content is laid out to communicate every word .
16,"Improving scanability often is as simple as : Breaking up long paragraphs into smaller , easier-to-consume chunks Breaking up paragraphs with headings and sub-heads Putting key information into bulleted lists . I can often sub-heads Breaking up long , easier-to-consume and Putting ."
17,Long documents often also benefit from an executive summary or callouts that summarize key points . Long documents often benefit from an issue or callouts .
18,3 ) Was it written with a specific audience in mind ? Was it written with a specific audience ?
19,"As writers , we always want our content to resonate with our audiences . As writers , we always want our content to resonate with our audiences ."
20,"Yet unless we have a good understanding of who our audience is — and in particular what they need and care about — that 's pretty hard to do . Unless we have a good understanding of who our audience is , and care about what they need and care about ."
21,"So before you write your next piece of content , try to put yourself in your customers ' shoes : What pain points do they have that you can help them resolve ? If you write your next piece of content , what pain points do you have ?"
22,What types of content do they prefer to consume ? What types of content do they prefer to consume ?
23,What style is going to be most effective with them ? What style is going to be most effective with them ?
24,"The more you consider your audience , the better the content you create is going to be . The more you consider your audience , the better the content you create is going to be ."
25,4 ) Does your content have the right tone of voice ? Can you have the appropriate tone of voice ?
26,"While you 're thinking about your audience , think about what kind of tone of voice is most likely to resonate with them . While you are thinking about your audience , think about what kind of voice is most likely to resonate with them ."
27,"Is it ok to adopt a casual tone , or is something more formal appropriate ? Is it acceptable to adopt a casual tone or is something more formal ?"
28,Are you writing for a general audience or for one with a high level of knowledge and expertise ? Are you writing for a general audience or for a while of knowledge and improve ?
29,"Is it ok to introduce a little humor into your writing , or does it have to be strictly professional . It is okay to introduce a little humor into your writing or does it have to be strictly professional ."
30,"Getting the tone of voice right is essential to creating a piece of content that works for your audience . I am getting the tone of voice , but it is just to creating a piece of content that works for your audience ."
31,5 ) Does it provide value to the reader ? Does it provide value to the reader ?
32,This is one of the main tenets of content marketing . This is one of the main issues in the world .
33,You 've got to give your audience information that they need or want . You will have to give your audience information that they need or want .
34,"It 's no longer enough to simply tout the virtues of your business , your products , and your services . It is not longer enough to simply simply tout to simply tout of your business , and your services ."
35,"Instead , you 've got to use your content as a way of conveying to your audience how they can solve whatever problems they may be facing . Instead , you 've got to use your content as a way of conveying to your audience , how they may be facing whatever problems they may be ."
36,"If you do n't , you 'll be wasting their time , something that they surely wo n't appreciate . If you do not , then you will be wasting their time ."
37,6 ) Is it optimized for search ? I think it is for search .
38,You need to make sure that you 're doing everything you can to make your content attractive to search engines . You need to make your content attractive to search engines .
39,"That means adding keywords in all of the right places ( e.g. , your headline , sprinkled throughout your content including the first sentence , and in your meta tags , to name a few ) . This would mean adding keywords in the right places of the right places to name your content including the first sentence and to name a few ."
40,Adding links to other pages within your site and externally can also help . Adding links to other pages is not able to help .
41,7 ) Does it have a compelling call to action ? Is it possible to call to action ?
42,The whole point of creating content is to get your audience to do something as a result of consuming it . The whole point of creating content is to get your audience to do something as a result .
43,"That could be something as simple as consuming even more content or it could be getting them to make a purchase . It could be something as simple as consuming . Even more content , it could be getting them to make a purchase ."
44,"No matter what the case may be , your audience wo n't do anything unless you direct them to with a clear call to action . No matter what the case may be , your audience will not do anything unless you direct them to action ."
45,"Importantly , do n't dilute your message with too many calls to action . Do not dilute your message with too many calls to action ."
46,One or at most two is all you should include . One or at most two is all you should include .
47,8 ) Does it have a great headline and image ? Does it have a lot of effort and image ?
48,"With so much content competing for people 's attention , you 've got to work really hard at attracting people to yours . With so much content competing for people 's attention , you have to work hard at attracting people to yours ."
49,"In most cases , the only bait we 've got are the headlines and images that people see before clicking on a particular piece of content . Basically , the only bait we have received are the headlines and images that people see before clicking on a particular piece of content ."
50,"Make sure that your headlines are pithy and engaging and that they accurately represent the content that people will find when the click through . While some of your headlines are headlines , they are engaging in the activity when the click through the click ."
51,"Photos should be high quality , visually engaging , and not generic stock photography . You should be high quality , visually engaging in generic positions ."
52,9 ) Does it give credit where credit is due ? Does it give credit where credit is due ?
53,"There are lots of great ideas out there and not all of them are going to be yours . There are many great ideas out there , and not all of them are going to be yours ."
54,"It 's fine to share other people 's ideas , but when you do , make sure that you give them credit for it . It is fine to share other people 's ideas , but when you do , make sure you give them credit for it ."
55,Take care to cite your sources . Take care to cite your sources .
56,"Not only will it make you look more credible and trustworthy , it will keep you out of trouble over the long term . It will make you look more credible and trustworthy , it will keep you out of trouble over the long term ."
57,10 ) Do you have a strategy for distributing your content to the right people ? Do you have a strategy for the right people to the right people ?
58,Creating the content is just the first step in content marketing . Just the content is the first step in content marketing .
59,What are you going to do after you publish it to ensure that it gets in front of all of the right people ? What are you going to do after you publish it to front of the right people ?
60,"Beyond just publishing the content to your website , you need to consider how you can promote it through social media , influencer marketing , paid promotion , and other tactics . Find out the content to your website . You need to consider how you can promote it through social media , influencer ."
61,"This is an incredibly important piece of the puzzle and , if you 're not giving it the attention it deserves , you 're missing out on a big opportunity . This is an important piece of puzzle , and if you are not giving it the attention , you should be disappointed ."
62,So can you answer yes to all 10 questions ? Can you answer yes to all ten questions ?
63,Or are there other questions that you like to ask yourself before you publish your content ? Are there any other questions that you like to ask yourself before you publish your content ?
64,We recently shared a post containing part 1 of a list of the problem words that writers tend to get wrong . We recently shared a post containing a list of the problem that writers that writers that writers that writers wrong .
65,This week we 're at it again with the second half of the list . This week we are at it again with the second half of the list .
66,"Although the words you 'll find below are easy to take for granted , some of them are trickier than you might think . The words are easy to take for granted , but some of them are easy to think ."
67,"Even if you 're confident that you 're using them all correctly , you might just learn a thing or two by taking a quick read through the explanations and examples we 've provided . Even if you are confident that you are using them all correctly , you might just learn a thing or two by taking a quick read and examples we 've provided ."
68,Alternate and Alternative These words are n't always interchangeable as nouns and adjectives . I adjectives and Alternative These words .
69,Alternate means every other in a series . I believe it means every other in a series .
70,Alternative means one of two or more possibilities . Alternative one of two or more possibilities .
71,"As the other one of a series of two , an alternate may stand for a `` substitute , '' but an alternative , although used in a similar sense , connotes a choice between two or more different possibilities . The other one of a series of two , an alternate of two , an alternate may stand for a `` `` `` `` `` `` `` `` `` For a Blue '' sense ."
72,"Example : As the flooded road left them no alternative , they took an alternate route . For instance , as the flooded left them , no alternative , they took an alternate route ."
73,Amount and Number Amount refers to things in bulk : Example : a large amount of goods Number refers to individual items : Example : a number of options . I Amount and Number Amount to things in bulk to individual items .
74,Compare To and Compare With Compare to asserts a likeness to something : Example : Index funds are often compared to the indexes after which they are modeled . I can do it to asserts to asserts to asserts to indexes .
75,Compare with analyzes similarities and differences : Example : How do growth funds compare with value funds ? Why do similarities with analyzes and differences ?
76,Different From and Different Than Different from is used when a comparison is drawn directly between two persons or things : Example : Objectives are different from goals . Different people from the used is used when a comparison is drawn directly in goals .
77,Different than is used when the object of comparison is expressed by a full clause : Example : My job is different than it used to be . It is different when the object of comparison is different than it used to be .
78,"Due To , Because Of , and On Account Of Due to modifies a noun : Example : Her success is due to her hard work . Because of , and it is On Account to modifies a noun , because her success is due to her hard work ."
79,"Because of and on account of modify verbs : Example : Prices rose because of increased demand ( … on account of increasing demand ) . From and on account of modify , Prices because of increased demand ."
80,Fewer and Less Fewer is used for things that can be counted ( numbers ) . I believe and sixteen can be counted for things that can be counted .
81,"Example : fewer people Less is used for things that can not be counted ( qualities ) . For example , few people are four people who are four people who are not counted ."
82,Example : less enthusiasm If and Whether If means in the event that : Example : The office will close if it 's a holiday . For example : The Office will be close if it is a holiday .
83,Whether implies alternative conditions or possibilities : Example : The customer did n't say whether the deal had been approved . A specific option would not say if the customer has been approved .
84,"Imply and Infer Imply means to suggest : Example : A falling stock market implies trouble in the economy . Believe it , and Infer means : A falling stock implies to trouble in the economy ."
85,Infer means to assume or to deduce : Example : We can infer from the falling stock market that the economy is weak . Do Infer to assume that we can infer from the falling stock that the economy is weak ?
86,"Myriad and Myriad Of As an adjective , myriad means innumerable . I believe it means innumerable ."
87,"Example : myriad solutions However , it can also function as a noun , meaning a great number . For example , it can also function as a noun ."
88,"Example : a myriad of choices Percent and Percentage Percent is accompanied by a numeral : Example : 20 percent Percentage is used for all other cases : Examples : the percentage of people ; as a percentage of the total Quote and Quotation Quote is a verb : Example : The article will quote the company 's president . For example , a choices of choices Percent and Percent ; Percent is a percentage of the total of the total people and Quotation ."
89,Quotation is a noun : Example : Several quotations ( not quotes ) were cited from her speech . I am not sure about her speech .
90,"Regardless Of and Irrespective Of Regardless of and irrespective of can be used synonymously : Examples : The market will fluctuate regardless of what happens overseas ; The company posted solid profits irrespective of the volatility in the third quarter . It does n't matter in the third quarter , but it 's Irrespective of Regardless of can fluctuate ."
91,Note : Irregardless is not a word and should not be used in place of regardless or irrespective of . Note : It is not a word and should not be used in place of regardless of regardless .
92,So now you 've seen all of the problem words that we 've collected . Now you have seen all of the problem that we have collected .
93,What are we missing ? What are we missing ?
94,"Are there other examples that you can think of that either trip up you or other writers you know ? Are there other examples that you can think of , either trip up you or other writers you know ?"
95,Please let us know in the comments section below ! Please let us know in the comments section .
96,Even the best writers can get tripped up sometimes by the nuances and intricacies of the English language . Even the best writers can get tripped up sometimes by the nuances writers .
97,That 's particularly true when it comes to using certain words and phrases correctly . That is particularly true when it comes to using certain words and phrases .
98,"You know the ones we 're talking about : Do you pay someone a compliment or a complement ? You know the ones we are talking about , do you pay someone a compliment or something ?"
99,When do you use raise versus rise ? When do you use raise versus rise ?
100,"And surely there 's a difference between farther and further , but what exactly is it ? There is a difference between farther and further , but what is it ?"
101,"Here at Acrolinx we thought we could help by sharing a list that we 've been compiling of the so-called problem words that people often get wrong , along with some examples of how to use them properly . At Acrolinx we thought we could help by sharing a list that we 've been compiling of how people often get wrong ."
102,"The list that follows is far from complete ( this is just part 1 of a bigger collection of problem words that we 'll publish over time ) , but it starts us off with some of the peskiest words that perhaps trip people up from time to time . This list is far from complete collection . This is a bigger collection of problem that we will publish over time to time ."
103,These include : Affect and Effect Affect is a verb meaning to have an influence on : Example : Inflation affects the buying power of the dollar . The include : Affect . It is Affect and Effect is a verb meaning to have an influence on the dollar .
104,"Effect used as a noun means a result , i.e. , something brought about or caused : Example : The effect of inflation on buying power is substantial . I used as a result means a result , but i.e. on buying power is substantial power ."
105,"Note : In some instances , effect can be used as a verb meaning to bring about or cause . Note : in some instances , effect can be used as a verb meaning to bring about or something ."
106,Among and Between Between is used when discussing two subjects : Example : The difference between cats and dogs . The following between discussing both cats and dogs .
107,"Among is used when discussing three or more objects : Example : The donation was distributed among a hospital , a school , and a local charity . The bands : The donation was used when discussing three or more objects ."
108,"Assure , Ensure and Insure Assure means to give confidence . Believe it , Ensure , and can not put the confidence ."
109,"Example : Let me assure you that we have a good solution to your problem . For example , let me assure you that we have a good solution to your problem ."
110,Ensure means to make certain . I believe it means to make certain .
111,"Example : What can you do to ensure that we arrive on time ? For example , what can you do to ensure that we arrive on time ?"
112,Insure means to protect against loss . I believe to protect against loss of loss .
113,"Example : Our house is insured for up to one million dollars . For our house , our house is for up to one million dollars ."
114,Complement and Compliment Complement means to complete : Example : Her expertise complements her experience . It is possible to do something and compliment Complement means her expertise .
115,"Compliment means to flatter : Example : He complimented her on a job well done . A nice means to flatter her on a job , and it is nice to flatter her ."
116,"Comprise and Compose Comprise means to include , contain , or consist of : Example : The whole comprises the parts . It can be hard to consist of whether or not to include the parts ."
117,Note : is comprised of is considered incorrect usage . Please note that it is considered considered incorrect .
